run_id,roll_force_kN_per_cm,roll_speed_rpm,feed_screw_rpm,roll_gap_mm,peak_pressure_MPa,ribbon_rel_density,ribbon_density_g_cc,ribbon_porosity,density_CV_percent,throughput_kg_hr
1,11.29,6.25,72.3,3.33,50.5,0.7925,1.2284,0.2075,1.55,64.12
2,7.27,9.38,70.6,3.37,32.3,0.6925,1.0734,0.3075,2.99,84.72
3,12.3,10.94,101.1,1.91,72.8,0.8489,1.3159,0.1511,2.07,71.47
4,10.37,8.93,88.2,3.58,44.7,0.7605,1.1788,0.2395,1.07,93.54
5,3.13,11.6,12.9,3.52,13.6,0.4967,0.7699,0.5033,4.49,81.62
6,13.71,9.6,15.4,3.55,59.4,0.6962,1.0791,0.3038,4.77,93.36
7,11.13,10.53,76.2,1.72,69.3,0.8249,1.2786,0.1751,3.02,58.84
8,11.43,2.26,63.5,2.84,55.4,0.6882,1.0666,0.3118,6.47,18.04
9,3.54,9.06,38.6,2.73,17.5,0.5829,0.9035,0.4171,4.18,57.77
10,7.4,5.84,56.1,1.76,45.6,0.7836,1.2146,0.2164,2.9,30.6
11,6.45,7.08,93.4,2.17,35.8,0.7341,1.1379,0.2659,1.78,45.62
12,13.12,8.2,100.9,2.82,63.8,0.8114,1.2576,0.1886,2.1,74.36
13,9.73,11.67,71.7,3.73,41.1,0.707,1.0959,0.293,3.38,119.7
14,11.87,11.83,52.4,2.21,65.2,0.7844,1.2159,0.2156,3.74,80.85
15,7.32,4.17,39.8,3.99,29.9,0.7211,1.1177,0.2789,2.14,49.49
16,4.73,9.07,67.4,3.14,21.8,0.6433,0.9971,0.3567,2.09,74.88
17,8.66,9.25,44.6,3.78,36.3,0.6927,1.0737,0.3073,4.41,96.84
18,2.77,4.81,72.1,2.92,13.2,0.5531,0.8574,0.4469,2.61,28.91
19,11.93,2.36,84.4,3.0,56.3,0.6707,1.0396,0.3293,7.31,19.51
20,9.58,1.45,17.3,3.36,42.7,0.761,1.1796,0.239,2.04,15.93
21,11.1,9.55,10.1,4.28,43.8,0.6543,1.0141,0.3457,5.77,106.89
22,6.25,6.39,33.4,2.98,29.6,0.6426,0.996,0.3574,3.65,49.44
23,13.65,11.84,108.4,3.09,63.4,0.8208,1.2723,0.1792,2.2,119.09
24,12.72,6.11,81.1,3.31,57.1,0.8231,1.2759,0.1769,2.08,65.66
25,11.34,11.76,28.9,3.71,48.1,0.6943,1.0761,0.3057,4.91,118.87
26,4.34,5.53,107.9,1.72,27.0,0.5689,0.8818,0.4311,4.99,18.47
27,7.6,9.73,61.7,3.05,35.6,0.6959,1.0787,0.3041,2.86,82.06
28,2.53,1.93,62.4,2.94,12.0,0.4714,0.7306,0.5286,6.44,10.88
29,3.85,7.11,112.9,4.27,15.2,0.5667,0.8784,0.4333,3.02,68.76
30,10.2,9.82,16.5,2.98,48.2,0.6915,1.0719,0.3085,6.07,78.02
31,10.94,11.17,33.7,2.9,52.4,0.7167,1.1109,0.2833,4.61,92.9
32,13.61,10.05,74.4,4.39,53.1,0.7853,1.2173,0.2147,3.36,139.9
33,5.91,1.41,31.5,2.85,28.6,0.5704,0.8841,0.4296,5.68,9.16
34,6.45,5.1,84.7,2.04,36.8,0.6765,1.0486,0.3235,3.7,27.76
35,7.63,1.54,33.6,2.15,42.5,0.6695,1.0376,0.3305,5.09,9.2
36,4.27,2.2,20.9,1.79,26.1,0.6515,1.0098,0.3485,1.96,13.17
37,3.56,8.43,32.8,1.5,23.7,0.5757,0.8923,0.4243,4.36,27.26
38,7.71,8.85,56.5,2.8,37.6,0.7089,1.0988,0.2911,3.79,69.6
39,4.72,9.51,29.4,3.81,19.8,0.5856,0.9078,0.4144,4.7,82.63
40,10.04,10.52,24.8,3.7,42.6,0.6768,1.0491,0.3232,5.46,103.32
41,7.25,9.13,104.6,1.6,46.8,0.7387,1.1449,0.2613,2.27,42.5
42,11.99,9.81,45.2,3.21,54.7,0.7576,1.1743,0.2424,4.6,96.31
43,10.4,1.54,49.7,1.96,60.6,0.6718,1.0413,0.3282,6.47,10.72
44,5.75,3.58,16.1,4.32,22.6,0.6035,0.9354,0.3965,4.96,37.59
45,11.99,7.84,49.3,2.0,69.2,0.7982,1.2372,0.2018,3.0,48.96
46,11.66,10.44,39.1,3.38,51.8,0.7095,1.0997,0.2905,4.03,102.68
47,6.65,1.05,77.2,2.48,34.5,0.5976,0.9262,0.4024,6.02,5.5
48,5.46,6.66,32.6,3.42,24.1,0.6091,0.9441,0.3909,4.75,54.06
49,10.19,8.45,107.7,2.74,50.3,0.7679,1.1902,0.2321,2.51,67.53
50,3.68,1.33,112.3,3.78,15.4,0.5126,0.7945,0.4874,6.37,12.24
51,4.4,5.41,21.0,2.19,24.3,0.5962,0.9241,0.4038,4.78,29.42
52,2.09,10.85,21.8,4.22,8.3,0.4971,0.7706,0.5029,5.31,93.55
53,11.44,8.39,22.7,3.0,53.9,0.727,1.1268,0.273,5.56,70.23
54,9.98,3.61,78.2,3.77,42.0,0.6481,1.0046,0.3519,4.94,37.08
55,10.46,10.38,23.4,4.05,42.5,0.6629,1.0275,0.3371,4.84,110.24
56,11.37,4.83,103.8,4.5,43.8,0.6419,0.995,0.3581,5.34,56.29
57,7.51,10.39,93.0,2.17,41.6,0.7436,1.1525,0.2564,1.47,63.83
58,8.82,4.29,100.2,2.36,46.9,0.6619,1.026,0.3381,6.39,28.69
59,3.68,7.49,67.9,2.25,20.0,0.5844,0.9058,0.4156,2.12,40.15
60,3.37,5.37,119.6,2.29,18.2,0.5281,0.8186,0.4719,6.03,25.58
61,10.02,4.02,14.9,3.25,45.4,0.689,1.068,0.311,5.3,36.55
62,7.65,10.75,54.1,4.48,29.5,0.6674,1.0345,0.3326,3.61,125.94
63,8.78,3.06,45.6,4.47,33.9,0.6621,1.0263,0.3379,2.69,34.98
64,11.18,1.93,114.4,3.08,52.0,0.6491,1.0061,0.3509,6.55,14.58
65,9.62,4.76,73.5,3.42,42.5,0.7394,1.1461,0.2606,3.47,44.77
66,8.64,8.89,98.7,4.08,34.9,0.7335,1.1369,0.2665,1.77,106.5
67,8.71,9.88,28.7,4.3,34.3,0.6351,0.9844,0.3649,4.44,108.42
68,5.65,11.99,117.6,2.11,31.7,0.6846,1.0612,0.3154,2.51,67.44
69,2.37,4.26,64.9,3.09,11.0,0.5497,0.852,0.4503,3.14,29.08
70,7.24,5.49,64.3,4.0,29.6,0.6484,1.005,0.3516,1.21,55.83
71,4.58,2.51,116.8,2.41,24.1,0.5256,0.8146,0.4744,6.01,13.03
72,6.9,7.32,51.9,2.82,33.6,0.6815,1.0563,0.3185,3.46,54.67
73,12.24,11.97,53.7,4.46,47.3,0.7424,1.1507,0.2576,4.16,155.25
74,4.81,8.71,74.3,4.46,18.6,0.6011,0.9317,0.3989,2.06,93.76
75,2.7,7.55,24.1,4.22,10.7,0.5104,0.7911,0.4896,4.5,64.13
76,5.38,5.32,45.3,3.9,22.2,0.6487,1.0055,0.3513,2.37,56.13
77,5.52,11.07,31.3,2.31,29.7,0.6542,1.014,0.3458,5.02,66.11
78,9.94,6.47,21.4,2.46,51.7,0.7131,1.1053,0.2869,3.98,43.49
79,8.68,2.48,105.3,3.14,40.0,0.6272,0.9722,0.3728,6.16,21.14
80,11.41,5.02,74.8,3.18,52.2,0.7945,1.2315,0.2055,2.97,51.1
81,9.97,1.74,49.5,3.02,46.9,0.6322,0.9799,0.3678,6.39,14.2
82,6.88,3.22,55.0,3.41,30.4,0.663,1.0276,0.337,4.03,30.57
83,11.77,1.19,57.5,2.72,58.2,0.6744,1.0453,0.3256,6.01,7.7
84,4.0,5.99,79.6,3.75,16.9,0.5982,0.9271,0.4018,2.46,52.85
85,2.27,7.98,111.9,2.5,11.7,0.5507,0.8536,0.4493,2.97,43.18
86,3.08,4.78,112.6,2.49,15.9,0.5023,0.7786,0.4977,6.19,21.7
87,10.67,5.62,53.1,1.88,63.5,0.8096,1.2548,0.1904,2.21,33.47
88,7.54,11.55,46.2,2.07,42.8,0.6998,1.0846,0.3002,4.18,68.01
89,3.94,9.27,59.6,4.05,16.0,0.5888,0.9127,0.4112,2.8,87.78
90,8.01,6.95,72.5,2.84,38.8,0.7301,1.1317,0.2699,1.99,54.91
91,3.83,4.13,60.8,2.18,21.2,0.6168,0.9561,0.3832,3.29,19.65
92,10.36,10.87,82.5,3.78,43.5,0.7458,1.156,0.2542,2.62,123.53
93,7.35,3.59,71.0,3.16,33.8,0.6227,0.9651,0.3773,4.61,27.77
94,6.57,4.58,45.3,1.56,42.9,0.7607,1.1791,0.2393,1.88,20.55
95,5.62,11.0,48.0,2.45,29.3,0.6481,1.0045,0.3519,4.14,68.59
96,9.56,6.82,51.6,2.03,54.8,0.8203,1.2715,0.1797,2.53,42.73
97,6.34,9.17,20.4,3.47,27.8,0.6019,0.9329,0.3981,5.15,77.74
98,3.05,7.5,28.3,2.33,16.3,0.5459,0.8461,0.4541,4.53,37.03
99,3.42,8.19,89.5,1.69,21.4,0.6457,1.0009,0.3543,2.36,37.47
100,13.54,4.29,52.8,1.66,85.7,0.8942,1.386,0.1058,2.67,25.34
101,12.9,3.66,33.6,3.25,58.5,0.7988,1.2382,0.2012,2.6,39.6
102,10.4,4.55,71.9,1.57,67.9,0.8007,1.241,0.1993,2.86,22.91
103,5.19,2.71,93.1,4.05,21.1,0.5452,0.8451,0.4548,6.14,24.91
104,13.63,10.62,38.3,1.97,79.4,0.7892,1.2232,0.2108,4.36,66.2
105,11.35,4.12,100.9,3.32,50.8,0.67,1.0385,0.33,5.97,37.12
106,10.6,7.18,112.0,2.83,51.4,0.758,1.1749,0.242,2.69,61.46
107,7.39,9.71,75.7,2.83,35.9,0.7187,1.1139,0.2813,2.42,77.68
108,5.27,9.62,83.6,1.72,32.8,0.6855,1.0625,0.3145,2.13,47.59
109,3.16,5.82,15.8,3.91,13.0,0.4939,0.7656,0.5061,4.5,43.06
110,12.83,6.24,114.0,4.18,51.2,0.696,1.0788,0.304,4.22,71.73
111,7.47,11.94,53.2,1.53,49.3,0.7071,1.096,0.2929,4.49,51.19
112,4.43,8.42,111.6,2.04,25.3,0.6326,0.9806,0.3674,2.39,43.47
113,5.67,9.96,73.7,4.21,22.6,0.6234,0.9663,0.3766,3.73,102.73
114,8.95,10.93,10.5,3.15,41.2,0.6418,0.9948,0.3582,5.46,87.76
115,4.12,9.66,14.2,1.95,24.1,0.5708,0.8848,0.4292,5.11,42.26
116,12.28,3.04,84.8,2.11,69.0,0.7088,1.0986,0.2912,6.42,15.57
117,11.1,7.18,71.9,3.48,48.6,0.7675,1.1896,0.2325,2.16,75.85
118,10.63,2.12,12.9,3.67,45.3,0.7493,1.1614,0.2507,3.45,21.43
119,7.19,8.18,91.8,3.3,32.3,0.7091,1.0991,0.2909,2.83,73.04
120,9.53,11.51,103.7,4.36,37.3,0.7194,1.115,0.2806,1.9,142.86
121,9.01,6.64,64.6,2.98,42.6,0.7407,1.1481,0.2593,2.44,58.7
122,9.8,5.76,61.2,2.4,51.6,0.7809,1.2104,0.2191,2.09,43.49
123,3.01,1.39,10.6,2.93,14.4,0.5766,0.8937,0.4234,2.04,10.17
124,6.99,11.56,96.5,2.58,35.5,0.715,1.1083,0.285,2.73,81.34
125,2.5,2.13,46.4,2.17,13.8,0.4975,0.7712,0.5025,6.1,7.07
126,7.93,1.45,106.7,1.64,50.6,0.6666,1.0332,0.3334,6.16,9.23
127,5.96,3.71,51.0,2.56,30.4,0.648,1.0044,0.352,2.45,22.7
128,3.73,1.72,72.2,3.63,16.0,0.5103,0.791,0.4897,5.81,13.53
129,3.24,6.01,39.7,1.56,21.2,0.622,0.9641,0.378,2.55,21.94
130,9.05,6.68,27.7,2.82,44.0,0.6979,1.0817,0.3021,4.58,52.01
131,4.05,4.44,95.2,3.43,17.8,0.5656,0.8767,0.4344,5.33,33.1
132,13.1,1.56,64.6,3.33,58.6,0.6776,1.0502,0.3224,6.06,14.76
133,8.97,2.23,69.0,3.83,37.4,0.6206,0.9619,0.3794,6.57,21.13
134,6.16,5.23,116.2,3.93,25.4,0.5771,0.8945,0.4229,5.51,46.22
135,9.09,1.67,116.0,3.64,38.9,0.6216,0.9635,0.3784,6.31,13.3
136,2.27,8.68,104.1,1.81,13.8,0.5775,0.8951,0.4225,2.36,36.23
137,13.5,3.28,30.6,2.93,64.5,0.8284,1.284,0.1716,1.7,29.57
138,7.79,4.32,75.4,3.31,34.9,0.6792,1.0527,0.3208,3.61,39.05
139,11.39,5.34,106.6,2.24,62.2,0.7618,1.1807,0.2382,5.09,39.87
140,2.99,5.58,51.2,1.63,19.2,0.6147,0.9527,0.3853,2.59,24.1
141,7.84,1.02,21.1,2.17,43.4,0.6833,1.0591,0.3167,5.79,7.05
142,7.89,2.23,99.2,2.86,38.1,0.609,0.9439,0.391,6.23,15.27
143,13.25,10.49,63.0,2.74,65.4,0.809,1.2539,0.191,3.69,89.06
144,8.86,1.01,72.1,2.03,50.8,0.6553,1.0156,0.3447,6.19,3.35
145,7.68,6.59,118.0,3.97,31.5,0.6605,1.0238,0.3395,4.91,70.28
146,5.2,6.38,76.8,4.28,20.5,0.6601,1.0232,0.3399,1.61,70.06
147,5.98,4.66,56.7,2.1,33.7,0.7027,1.0891,0.2973,2.62,26.21
148,8.25,5.74,50.7,4.29,32.5,0.6608,1.0243,0.3392,2.02,64.1
149,7.27,9.59,55.9,1.55,47.6,0.7276,1.1278,0.2724,4.2,41.24
150,2.26,10.25,23.0,4.27,8.9,0.5071,0.786,0.4929,5.18,86.01
151,11.92,3.86,97.4,4.36,46.6,0.6677,1.0349,0.3323,5.82,44.34
152,12.75,4.55,102.1,1.54,84.0,0.7743,1.2001,0.2257,5.57,20.04
153,3.68,3.67,41.3,3.79,15.4,0.6077,0.9419,0.3923,2.32,32.26
154,8.65,6.28,43.4,4.41,33.6,0.6917,1.0721,0.3083,3.35,74.53
155,3.3,8.52,106.2,4.22,13.1,0.591,0.9161,0.409,2.1,84.69
156,10.07,3.51,12.6,4.41,39.1,0.6892,1.0682,0.3108,4.41,41.85
157,5.37,4.64,67.3,3.15,24.7,0.6627,1.0272,0.3373,3.01,38.01
158,9.91,11.23,61.0,1.73,61.5,0.7843,1.2156,0.2157,3.63,61.3
159,10.72,1.53,85.9,4.05,43.5,0.6546,1.0147,0.3454,5.98,15.86
160,11.22,6.07,28.0,3.34,50.1,0.7264,1.126,0.2736,3.62,57.8
161,3.29,8.83,83.5,3.34,14.7,0.5753,0.8917,0.4247,2.24,67.83
162,12.99,2.65,51.4,2.75,63.9,0.778,1.2058,0.222,5.29,23.47
163,4.76,1.52,78.1,3.22,21.7,0.5438,0.8428,0.4562,7.15,10.29
164,2.45,2.52,14.4,1.96,14.3,0.5679,0.8803,0.4321,3.76,11.21
165,8.66,11.11,60.8,3.72,36.7,0.6863,1.0638,0.3137,3.67,110.89
166,6.45,1.1,67.4,1.73,40.1,0.619,0.9595,0.381,6.8,3.36
167,11.96,3.07,33.6,3.69,50.8,0.7847,1.2163,0.2153,1.73,36.3
168,11.7,1.34,25.4,4.05,47.5,0.726,1.1253,0.274,4.53,16.28
169,5.81,2.22,30.7,2.92,27.8,0.671,1.0401,0.329,2.15,17.84
170,13.43,7.82,47.9,3.03,63.0,0.7664,1.1879,0.2336,2.77,72.2
171,5.49,3.66,20.6,2.44,28.7,0.6425,0.9959,0.3575,3.61,22.71
172,8.18,7.26,114.2,4.41,31.8,0.6954,1.0779,0.3046,3.28,89.03
173,5.07,7.49,54.5,3.7,21.5,0.615,0.9533,0.385,3.06,68.78
174,13.23,10.34,99.0,2.61,66.9,0.8082,1.2527,0.1918,2.34,87.5
175,3.98,1.05,117.2,2.02,22.8,0.5751,0.8915,0.4249,6.6,4.69
176,2.54,10.39,18.9,2.16,14.1,0.5326,0.8256,0.4674,5.33,49.29
177,7.22,7.81,81.7,2.89,34.7,0.7103,1.101,0.2897,2.0,63.75
178,13.91,2.79,105.9,4.33,54.6,0.6733,1.0436,0.3267,6.66,33.08
179,12.7,9.5,79.8,3.7,53.9,0.8016,1.2424,0.1984,2.11,111.89
180,10.98,10.41,57.2,2.15,61.2,0.7708,1.1948,0.2292,3.69,68.43
181,12.69,3.8,57.4,4.08,51.3,0.7788,1.2071,0.2212,3.21,46.57
182,12.72,11.11,13.9,2.63,64.0,0.7469,1.1577,0.2531,5.03,87.44
183,8.23,6.0,68.8,4.06,33.4,0.7082,1.0978,0.2918,2.03,72.37
184,5.79,7.64,119.3,2.23,31.7,0.6714,1.0406,0.3286,2.9,44.53
185,11.26,11.83,115.5,3.36,50.2,0.777,1.2043,0.223,1.88,122.04
186,9.94,4.98,14.4,4.28,39.2,0.6843,1.0607,0.3157,4.24,56.95
187,6.48,9.94,87.6,2.27,35.1,0.6942,1.076,0.3058,2.8,61.31
188,3.13,4.5,43.2,3.58,13.5,0.5516,0.855,0.4484,2.55,37.45
189,10.96,9.79,109.3,4.46,42.4,0.7583,1.1753,0.2417,2.22,129.93
190,5.15,7.61,15.0,1.95,30.1,0.6266,0.9713,0.3734,5.84,36.07
191,13.24,3.38,112.9,1.77,81.4,0.7516,1.165,0.2484,6.42,15.34
192,4.89,5.55,102.1,3.52,21.3,0.5889,0.9128,0.4111,5.6,44.4
193,3.47,4.49,22.9,2.52,17.9,0.5701,0.8837,0.4299,3.63,22.95
194,11.97,1.86,16.6,1.71,74.7,0.864,1.3392,0.136,2.36,11.83
195,3.84,1.33,101.8,2.93,18.3,0.5205,0.8069,0.4795,6.34,12.2
196,4.15,4.81,27.1,3.76,17.5,0.57,0.8835,0.43,3.63,40.22
197,9.19,1.21,68.8,2.36,48.9,0.6557,1.0164,0.3443,6.83,4.88
198,12.49,2.82,110.7,2.51,64.5,0.737,1.1423,0.263,6.45,21.93
199,4.36,8.98,72.4,4.04,17.7,0.5726,0.8875,0.4274,3.22,80.92
